timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/19 22:19:23.286, 0, 45 %, 9 %, 1087 MiB, 49140 MiB, 104.51 W, 300.00 W, 49, 2715 MHz
2026/09/19 22:19:24.287, 0, 48 %, 11 %, 717 MiB, 49140 MiB, 130.90 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:19:25.288, 0, 51 %, 10 %, 717 MiB, 49140 MiB, 113.46 W, 300.00 W, 49, 2715 MHz
2026/09/19 22:19:26.288, 0, 48 %, 9 %, 717 MiB, 49140 MiB, 137.83 W, 300.00 W, 49, 2715 MHz
2026/09/19 22:19:27.289, 0, 58 %, 30 %, 889 MiB, 49140 MiB, 156.28 W, 300.00 W, 52, 2715 MHz
2026/09/19 22:19:28.290, 0, 56 %, 20 %, 717 MiB, 49140 MiB, 159.58 W, 300.00 W, 50, 2715 MHz
2026/09/19 22:19:29.291, 0, 57 %, 29 %, 717 MiB, 49140 MiB, 142.87 W, 300.00 W, 52, 2715 MHz
2026/09/19 22:19:30.291, 0, 60 %, 30 %, 1087 MiB, 49140 MiB, 146.18 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:19:31.292, 0, 56 %, 20 %, 1087 MiB, 49140 MiB, 147.70 W, 300.00 W, 54, 2715 MHz
2026/09/19 22:19:32.292, 0, 48 %, 12 %, 1087 MiB, 49140 MiB, 157.35 W, 300.00 W, 55, 2715 MHz
2026/09/19 22:19:33.293, 0, 50 %, 17 %, 1087 MiB, 49140 MiB, 161.87 W, 300.00 W, 55, 2715 MHz
2026/09/19 22:19:34.293, 0, 48 %, 11 %, 1087 MiB, 49140 MiB, 158.90 W, 300.00 W, 52, 2715 MHz
2026/09/19 22:19:35.294, 0, 50 %, 17 %, 1089 MiB, 49140 MiB, 134.80 W, 300.00 W, 52, 2715 MHz
2026/09/19 22:19:36.294, 0, 46 %, 9 %, 717 MiB, 49140 MiB, 112.99 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:19:37.295, 0, 0 %, 0 %, 715 MiB, 49140 MiB, 69.72 W, 300.00 W, 50, 2715 MHz
2026/09/19 22:19:38.295, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 62.85 W, 300.00 W, 49, 2505 MHz
2026/09/19 22:19:39.296, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 53.34 W, 300.00 W, 49, 2505 MHz
2026/09/19 22:19:40.296, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 51.99 W, 300.00 W, 48, 630 MHz
2026/09/19 22:19:41.297, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 41.29 W, 300.00 W, 48, 405 MHz
